FileNameRegEx	AnalyticalSample	126	127N	127C	128N	128C	129N	129C	130N	130C	131	LabelReagent	Ratios
^01CPTAC_LUAD_W_BI	01CPTAC_LUAD_Proteome_BI_20180515	CPT0089340003	CPT0089360003	CPT0092930003	CPT0092940003	CPT0015410003	CPT0015420003	CPT0146980004	CPT0147000003	TumorOnlyIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^02CPTAC_LUAD_W_BI	02CPTAC_LUAD_Proteome_BI_20180518	CPT0148280004	CPT0148300003	CPT0011710004	CPT0011750003	CPT0117970003	CPT0118010003	CPT0069360003	CPT0069370003	NormalOnlyIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^03CPTAC_LUAD_W_BI	03CPTAC_LUAD_Proteome_BI_20180521	CPT0148080004	CPT0148100003	CPT0083100003	CPT0083140003	CPT0118160003	CPT0118180003	CPT0105510003	CPT0105550003	TumorOnlyIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^04CPTAC_LUAD_W_BI	04CPTAC_LUAD_Proteome_BI_20180524	CPT0091240003	CPT0091260003	CPT0148180004	CPT0148200003	CPT0068100003	CPT0068130003	CPT0092240003	CPT0092250003	NormalOnlyIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^05CPTAC_LUAD_W_BI	05CPTAC_LUAD_Proteome_BI_20180527	CPT0014860003	CPT0014930003	CPT0082850004	CPT0082890003	CPT0091860003	CPT0091870003	CPT0067940003	CPT0067950003	CPT0098130003	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^06CPTAC_LUAD_W_BI	06CPTAC_LUAD_Proteome_BI_20180530	CPT0118340003	CPT0118360003	CPT0110860004	CPT0110890003	CPT0083780003	CPT0083810003	CPT0069700003	CPT0069720003	CPT0053040004	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^07CPTAC_LUAD_W_BI	07CPTAC_LUAD_Proteome_BI_20180602	CPT0109680004	CPT0109700003	CPT0105940003	CPT0105980003	CPT0090170004	CPT0090200003	CPT0105330003	CPT0105370004	CPT0148080004	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^08CPTAC_LUAD_W_BI	08CPTAC_LUAD_Proteome_BI_20180606	CPT0105710003	CPT0105740003	CPT0118620003	CPT0118650003	CPT0147080004	CPT0147100003	CPT0082740004	CPT0082770003	CPT0146580004	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^09CPTAC_LUAD_W_BI	09CPTAC_LUAD_Proteome_BI_20180620	CPT0001660013	CPT0001690003	CPT0147580004	CPT0147600003	CPT0068610003	CPT0068650003	CPT0066890003	CPT0066930003	CPT0052940004	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^10CPTAC_LUAD_W_BI	10CPTAC_LUAD_Proteome_BI_20180626	CPT0113990003	CPT0114010003	CPT0086310003	CPT0086320003	CPT0011910004	CPT0011930003	CPT0106110003	CPT0106100003	CPT0052170004	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^11CPTAC_LUAD_W_BI	11CPTAC_LUAD_Proteome_BI_20180905	CPT0023310003	CPT0023320003	CPT0105630003	CPT0105680003	CPT0067450003	CPT0067470004	CPT0147380004	CPT0147400003	NormalOnlyIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^12CPTAC_LUAD_W_BI	12CPTAC_LUAD_Proteome_BI_20180912	CPT0104970003	CPT0105010004	CPT0090340003	CPT0090370003	CPT0083390004	CPT0083420003	CPT0090860003	CPT0090900004	CPT0051690004	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^13CPTAC_LUAD_W_BI	13CPTAC_LUAD_Proteome_BI_20180629	CPT0070060003	CPT0070080003	CPT0067620003	CPT0067770003	CPT0013600003	CPT0013630003	CPT0001580009	CPT0001590003	CPT0105270003	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^14CPTAC_LUAD_W_BI	14CPTAC_LUAD_Proteome_BI_20180711	CPT0086750003	CPT0086770003	CPT0118810003	CPT0118830003	CPT0090570004	CPT0090600003	CPT0109720004	CPT0109710003	TumorOnlyIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^15CPTAC_LUAD_W_BI	15CPTAC_LUAD_Proteome_BI_20180714	CPT0118570003	CPT0118600003	CPT0147980004	CPT0148000003	CPT0104630003	CPT0104650003	CPT0066780003	CPT0066810003	CPT0092530003	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^16CPTAC_LUAD_W_BI	16CPTAC_LUAD_Proteome_BI_20180718	CPT0055100004	CPT0062810003	CPT0118880003	CPT0118890003	CPT0146780004	CPT0146800003	CPT0090700003	CPT0090720003	CPT0008450003	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^17CPTAC_LUAD_W_BI	17CPTAC_LUAD_Proteome_BI_20180720	CPT0084140003	CPT0084170003	CPT0000920017	CPT0000930003	CPT0001960003	CPT0001970003	CPT0111300003	CPT0111480003	CPT0146680004	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^18CPTAC_LUAD_W_BI	18CPTAC_LUAD_Proteome_BI_20180726	CPT0114660004	CPT0114690003	CPT0021450003	CPT0021490003	CPT0110980004	CPT0111590003	CPT0008410003	CPT0008420003	CPT0146700003	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^19CPTAC_LUAD_W_BI	19CPTAC_LUAD_Proteome_BI_20180730	CPT0001380003	CPT0001390003	CPT0067070003	CPT0067110003	CPT0105600003	CPT0105610003	CPT0118200003	CPT0118240003	TaiwaneseIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^20CPTAC_LUAD_W_BI	20CPTAC_LUAD_Proteome_BI_20180809	CPT0001800013	CPT0001810003	CPT0147480004	CPT0147500003	CPT0063730003	CPT0063750003	CPT0109830004	CPT0109850003	CPT0146880004	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^21CPTAC_LUAD_W_BI	21CPTAC_LUAD_Proteome_BI_20180817	CPT0001060010	CPT0001070003	CPT0067250003	CPT0067290003	CPT0105060003	CPT0105190003	CPT0105230003	CPT0105250003	TumorOnlyIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^22CPTAC_LUAD_W_BI	22CPTAC_LUAD_Proteome_BI_20180820	CPT0102450003	CPT0102480003	CPT0115070003	CPT0115090003	CPT0125810003	CPT0125830003	CPT0068800003	CPT0068830003	TaiwaneseIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^23CPTAC_LUAD_W_BI	23CPTAC_LUAD_Proteome_BI_20180822	CPT0063810003	CPT0063840003	CPT0014260003	CPT0014290003	CPT0069520003	CPT0069550003	CPT0147880004	CPT0147900003	CPT0146580004	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^24CPTAC_LUAD_W_BI	24CPTAC_LUAD_Proteome_BI_20180829	CPT0104750003	CPT0104760003	CPT0112060003	CPT0112080003	CPT0079830003	CPT0079850003	CPT0109740004	CPT0109760003	CPT0146600003	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
^25CPTAC_LUAD_W_BI	25CPTAC_LUAD_Proteome_BI_20180901	CPT0013880003	CPT0013910003	CPT0097580003	CPT0097600003	CPT0113210003	CPT0113220003	CPT0114840003	CPT0114880003	NormalOnlyIR	POOL	SE240163	"126/131,127N/131,127C/131,128N/131,128C/131,129N/131,129C/131,130N/131,130C/131"
