Sample #,General Information,,,,Amount of Material,,,Miscellaneous,Treatment/Groups ,,
,Sample Name*,Sample Type*,Species/Strain*,Sample Buffer*,Total Amount*,Volume (µL),Conc (ng/µL),Purification Method*,Cell line,Treatments,Time point
1,1,RNA,HOMO SAPIENS,RNASE FREE WATER,6241,30,208,Zymo miniprep with In column DNAse I treatemnt ,HCT116,DMSO,24hr
2,2,RNA,HOMO SAPIENS,RNASE FREE WATER,6126,30,204,Zymo miniprep with In column DNAse I treatemnt ,HCT116,DMSO,24hr
3,3,RNA,HOMO SAPIENS,RNASE FREE WATER,8144,30,271,Zymo miniprep with In column DNAse I treatemnt ,HCT116,DMSO,24hr
4,4,RNA,HOMO SAPIENS,RNASE FREE WATER,8089,30,270,Zymo miniprep with In column DNAse I treatemnt ,HCT116,MBZ,24hr
5,5,RNA,HOMO SAPIENS,RNASE FREE WATER,5634,30,188,Zymo miniprep with In column DNAse I treatemnt ,HCT116,MBZ,24hr
6,6,RNA,HOMO SAPIENS,RNASE FREE WATER,7996,30,267,Zymo miniprep with In column DNAse I treatemnt ,HCT116,MBZ,24hr
7,7,RNA,HOMO SAPIENS,RNASE FREE WATER,3577,30,119,Zymo miniprep with In column DNAse I treatemnt ,T84,DMSO,24hr
8,8,RNA,HOMO SAPIENS,RNASE FREE WATER,2963,30,99,Zymo miniprep with In column DNAse I treatemnt ,T84,DMSO,24hr
9,9,RNA,HOMO SAPIENS,RNASE FREE WATER,3575,30,119,Zymo miniprep with In column DNAse I treatemnt ,T84,DMSO,24hr
10,10,RNA,HOMO SAPIENS,RNASE FREE WATER,3813,30,127,Zymo miniprep with In column DNAse I treatemnt ,T84,MBZ,24hr
11,11,RNA,HOMO SAPIENS,RNASE FREE WATER,2974,30,99,Zymo miniprep with In column DNAse I treatemnt ,T84,MBZ,24hr
12,12,RNA,HOMO SAPIENS,RNASE FREE WATER,1783,30,59,Zymo miniprep with In column DNAse I treatemnt ,T84,MBZ,24hr
13,13,RNA,HOMO SAPIENS,RNASE FREE WATER,3923,30,131,Zymo miniprep with In column DNAse I treatemnt ,MCF7,DMSO,24hr
