FileNameRegEx	AnalyticalSample	126C	127N	127C	128N	128C	129N	129C	130N	130C	131N	131C	LabelReagent	Ratios
^01CPTAC_LSCC_W_BI_	01CPTAC_LSCC_Proteome_BI_20190615	CPT0192540004	CPT0192590004	CPT0091610003	CPT0091620003	CPT0147680004	CPT0147700003	CPT0112650003	CPT0112660003	CPT0101130003	LUAD_Global_CR_pool_1	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
^02CPTAC_LSCC_W_BI_	02CPTAC_LSCC_Proteome_BI_20190618	CPT0197090003	CPT0197100003	CPT0222730003	CPT0222740003	CPT0202530004	CPT0202580004	CPT0126740003	CPT0126760003	CPT0237410004	CPT0237430003	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
^03CPTAC_LSCC_W_BI_	03CPTAC_LSCC_Proteome_BI_20190626	CPT0245780003	CPT0245790003	CPT0069890003	CPT0069900003	CPT0001020003	CPT0001030003	CPT0204800003	CPT0204820003	CPT0091820003	LSCC_Tumor_ONLY_CR	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
^04CPTAC_LSCC_W_BI_	04CPTAC_LSCC_Proteome_BI_20190629	CPT0128890003	CPT0128900003	CPT0227400003	CPT0227420003	CPT0209020004	CPT0209040003	CPT0217420003	CPT0217490003	CPT0219360003	CPT0219390003	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
^05CPTAC_LSCC_W_BI_	05CPTAC_LSCC_Proteome_BI_20190705	CPT0208770003	CPT0208780003	CPT0115830003	CPT0115860003	CPT0130270003	CPT0130310003	CPT0136640003	CPT0136660003	CPT0232670003	CPT0232690003	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
^06CPTAC_LSCC_W_BI_	06CPTAC_LSCC_Proteome_BI_20190710	CPT0234560003	CPT0234580003	CPT0191860003	CPT0191930003	CPT0234790003	CPT0234820003	CPT0237690004	CPT0237710003	CPT0197480003	CPT0197520003	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
^07CPTAC_LSCC_W_BI_	07CPTAC_LSCC_Proteome_BI_20190714	CPT0202350004	CPT0202400004	CPT0237550004	CPT0237570003	CPT0098770003	CPT0098800003	CPT0197210003	CPT0197380003	CPT0089880003	JHU_HNSCC_CR	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
^08CPTAC_LSCC_W_BI_	08CPTAC_LSCC_Proteome_BI_20190717	CPT0104930003	CPT0104950003	CPT0186130003	CPT0186140003	CPT0086260003	CPT0086270003	CPT0175260003	CPT0175270003	CPT0146380004	CPT0146400003	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
^09CPTAC_LSCC_W_BI_	09CPTAC_LSCC_Proteome_BI_20190722	CPT0187370003	CPT0187380003	CPT0234930004	CPT0234950004	CPT0130030003	CPT0130070003	CPT0147180004	CPT0147200003	CPT0126670003	LUAD_Global_CR_pool_1	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
^10CPTAC_LSCC_W_BI_	10CPTAC_LSCC_Proteome_BI_20190726	CPT0063430003	CPT0063440003	CPT0195510003	CPT0195520003	CPT0238110004	CPT0238130003	CPT0197150003	CPT0197170003	CPT0202170003	CPT0202220004	POOL	UA280170_TL272399	"126C/131C,127N/131C,127C/131C,128N/131C,128C/131C,129N/131C,129C/131C,130N/131C,130C/131C,131N/131C"
