id,pos.lfc,pos.fdr
HDAC8,2.7974,0.000134
TYMS,4.6976,0.000134
MTHFD1,3.5833,0.000134
ITPK1,2.2727,0.000134
CYB5B,2.5559,0.000134
DNM2,2.6737,0.000134
ATIC,2.0389,0.000134
THOC6,1.9679,0.000134
FPGS,2.6771,0.000134
GART,2.6788,0.000134
UBIAD1,3.1221,0.000134
NUP37,2.5123,0.000134
SGOL1,1.5076,0.000134
TFRC,2.4058,0.000134
MLST8,2.6203,0.000134
LIPT2,2.3332,0.000134
WDR73,2.4812,0.000134
FAM50A,2.2187,0.000134
ZER1,2.261,0.000134
BAG6,1.7912,0.000134
CRTC3,2.4373,0.000134
MCL1,1.7152,0.000134
PDCD6,1.1287,0.000134
IRS2,2.1954,0.000134
PHGDH,1.9229,0.000134
PFAS,2.8943,0.000134
GET4,2.3177,0.000134
FLYWCH1,1.4029,0.000134
UBE3A,2.2392,0.000134
G6PD,1.5014,0.000134
OXSR1,2.9341,0.000391
PPP2CA,2.3626,0.000825
HK2,2.6478,0.000825
MAGOH,1.6582,0.001013
SCD,2.1756,0.001013
RREB1,1.3259,0.001159
DLD,2.4079,0.001159
BARHL2,1.5574,0.001159
C1orf27,1.2893,0.001313
MTHFD2,1.9049,0.001313
SETD1B,1.9673,0.001485
RPL9,7.0915,0.001809
PAICS,3.2132,0.002335
DCAF15,1.4581,0.002475
YIPF5,1.1134,0.003272
C16orf90,1.0347,0.003272
ATP6V0E1,1.7932,0.003383
PPP2R2A,1.6554,0.003753
MGEA5,0.8948,0.003753
MCOLN2,1.2826,0.00385
NUP58,1.4537,0.004409
NAA60,1.3721,0.004646
BOLA3,2.09,0.004875
SHMT2,1.3536,0.00495
SLC20A1,1.7303,0.00495
PPIL1,1.7161,0.00495
TRPM7,1.2894,0.00495
DHX35,2.0048,0.005019
DCP1A,1.3357,0.005086
CACHD1,1.1215,0.005743
DLGAP5,1.1941,0.005851
UBR5,1.575,0.006002
PTGER3,1.1161,0.006581
SOD2,1.2853,0.008478
CDC14A,0.98064,0.008478
E2F3,1.2901,0.008495
OTUD5,1.5021,0.008955
HECTD1,1.4636,0.009955
MAPKAP1,1.028,0.011933
GADD45A,0.99792,0.013047
COG7,0.96225,0.014954
APITD1,0,0.015236
TSC2,1.3586,0.016393
CCBL2,0.75548,0.016393
RAB40C,1.2644,0.016547
FLCN,0.97272,0.016759
CIT,1.8748,0.017057
BTAF1,0.99211,0.01726
COPS7A,0.99966,0.017459
S1PR1,1.1584,0.017655
BIRC2,1.024,0.018022
HBS1L,0.88727,0.019178
NHLH2,0.73711,0.019198
CCNE2,1.2302,0.019525
COG8,0.85073,0.021145
SRGAP2C,1.3769,0.023066
PPP2R3C,1.3968,0.024102
RRAGC,1.152,0.024286
TRAPPC13,1.2559,0.024859
UNC50,1.7782,0.026391
KLC2,1.1325,0.02648
ANGEL2,1.1778,0.028996
SOS1,0.65434,0.028996
FASN,1.4546,0.028996
RAB3GAP2,1.0866,0.029613
CLUH,1.0598,0.030687
MIOS,1.5082,0.03212
ZC3H18,1.062,0.034113
CFL1,1.3521,0.034232
GUCA2B,1.0701,0.034598
UQCC1,1.0542,0.035286
PSAT1,1.942,0.036585
RTEL1-TNFRSF6B,0,0.038163
C1QTNF4,1.2294,0.038163
CCNF,1.4545,0.038163
SLC6A19,0.91108,0.038244
SLF1,1.0739,0.038244
MAD2L1BP,1.132,0.038244
RTEL1,0,0.038244
MBTPS2,1.7235,0.038969
NOA1,1.2186,0.040121
NRIP3,0.92001,0.042512
TM2D1,1.3631,0.04356
SLC4A7,1.3119,0.044836
THRSP,1.1013,0.044926
MARCH6,1.0824,0.045376
C5orf49,1.3875,0.052885
SPAG5,1.1506,0.053367
SLC31A1,1.718,0.053367
DUS1L,0.94736,0.054247
API5,2.0143,0.054247
MICALCL,0.63242,0.054934
GFPT1,1.8653,0.058168
VCPIP1,1.0759,0.061134
AP2M1,0.76902,0.061134
USP33,1.1366,0.061968
FANCE,1.1584,0.061968
BRIP1,0.8925,0.064338
FAM195A,1.1205,0.065641
PPP1R12A,0.85348,0.065641
SLC6A18,0.94224,0.068665
RICTOR,1.3445,0.07197
TPPP,1.0367,0.07197
NLRC3,1.0907,0.07239
BRAT1,1.441,0.072519
WDR59,0.96721,0.073488
EP300,1.0103,0.074634
ANAPC15,0.75275,0.074634
BCL10,1.0588,0.076851
SPI1,1.2307,0.081533
OLA1,0.98036,0.082281
TRIM39-RPP21,0,0.085273
SGF29,1.4534,0.086626
BRD9,0.7008,0.087875
LIN7C,0.83042,0.087875
PTPN22,0.98297,0.091013
TPSG1,0.97845,0.092562
DICER1,0.60557,0.093439
RHBDD3,1.0405,0.093795
RMI2,1.1578,0.095145
UBAP2L,1.0216,0.095743
PGR,0.76394,0.096867
