id,pos.lfc,pos.fdr
HDAC8,2.8729,0.00019
TYMS,3.9068,0.00019
MTHFD1,3.438,0.00019
ITPK1,2.5412,0.00019
PFAS,3.3148,0.00019
CYB5B,2.2561,0.00019
GART,2.6376,0.00019
MLST8,2.4252,0.00019
BAG6,1.9011,0.00019
TFRC,2.3631,0.00019
DNM2,2.3162,0.00019
CRTC3,2.3916,0.00019
MCL1,1.8108,0.00019
GET4,2.4687,0.00019
ATIC,2.3193,0.00019
BARHL2,1.4192,0.00019
FAM50A,2.0443,0.00019
LIPT2,2.4877,0.00019
UBE3A,2.3352,0.00019
G6PD,1.5769,0.00019
PHGDH,2.0996,0.00019
IRS2,1.9313,0.00019
SGOL1,1.2882,0.000512
HK2,2.7681,0.000512
PAICS,3.4104,0.000512
FPGS,2.4217,0.000825
OXSR1,2.9235,0.001118
ZER1,2.1123,0.00135
NUP37,2.0369,0.001513
THOC6,1.8736,0.001513
WDR73,1.9291,0.001513
UBR5,1.1968,0.001606
DLD,1.8719,0.001609
PPP2CA,2.4531,0.001609
MAGOH,1.6811,0.001609
OTUD5,1.654,0.003038
SETD1B,1.8572,0.003055
CIT,2.0442,0.003055
FLYWCH1,1.335,0.004059
SOD2,1.4134,0.004094
GPR88,1.084,0.00439
RREB1,1.2621,0.00441
SHMT2,1.6628,0.00441
UBIAD1,2.1781,0.004685
TRPM7,1.2702,0.005033
DCP1A,1.6124,0.005033
PDCD6,1.2914,0.005275
C16orf90,0.9734,0.005712
NAA60,1.2991,0.005712
SLC20A1,1.5704,0.005712
DHX35,1.6503,0.005926
PTGER3,1.0349,0.006479
DCAF15,1.3406,0.006672
CCNE2,1.4906,0.0076
C1orf27,1.274,0.0076
PTPN22,1.1756,0.008012
MIOS,1.7477,0.00806
NUP58,1.1383,0.009468
SCD,1.8479,0.009468
RPL9,4.7886,0.010549
BOLA3,1.6903,0.011008
KCND3,1.2484,0.011096
MAPKAP1,0.89549,0.011195
PPIL1,1.561,0.012182
MGEA5,1.1587,0.012215
MTHFD2,1.8085,0.012215
TRAPPC13,1.631,0.013184
E2F3,1.2506,0.013304
NHLH2,0.95149,0.014655
UBE2K,0.99147,0.014803
CCNF,1.5181,0.014994
COG7,0.84537,0.014994
S1PR1,1.3795,0.016396
RICTOR,1.4791,0.016929
GADD45A,0.99263,0.020347
CFL1,1.4989,0.020592
RHBDD3,1.0487,0.022177
ZC3H18,0.96623,0.022177
C1QTNF4,1.1647,0.02432
RRAGC,0.98335,0.025206
JAK1,0.94519,0.027191
MBTPS2,1.4698,0.027788
FLCN,1.0703,0.029668
DLGAP5,1.2162,0.030188
ATP6V0E1,1.9366,0.032574
SLC31A1,1.8822,0.032574
NOA1,1.5312,0.035971
FASN,1.2635,0.036187
TSC2,1.4515,0.037744
NLRC3,1.0099,0.038821
YIPF5,1.0849,0.041704
MARCH6,1.1276,0.042556
FAAP24,1.1343,0.043072
SLF1,1.0985,0.044112
APITD1,0,0.047308
BTAF1,0.95848,0.047597
RTEL1-TNFRSF6B,0,0.047635
TRIM39-RPP21,0,0.049804
UNC50,1.5353,0.050227
PPP2R3C,1.1515,0.050809
COPS7A,0.91558,0.052918
PPP2R2A,1.6249,0.053419
HIST1H4F,1.2512,0.055451
RBM34,0.87195,0.056516
TM2D1,1.1907,0.056516
SLC4A7,1.0343,0.057381
UQCC2,1.1564,0.064909
BIRC2,1.0365,0.066094
LIN7C,0.81939,0.070764
SMG7,1.3932,0.07477
DNAJC22,0.70308,0.075606
KLC2,1.1058,0.076458
STUB1,0.94847,0.078717
MCOLN2,1.0216,0.079782
BRD9,0.80607,0.081756
PLEKHO1,0.94979,0.081756
ANAPC15,0.74813,0.083065
TPSG1,0.99435,0.083602
OLA1,1.1307,0.083602
EP300,1.0385,0.083803
ATPAF2,0.57253,0.085415
TPPP,0.9745,0.086008
LCE3B,0.97004,0.087561
CDK8,1.1546,0.088217
RP11-156P1.2,0,0.089613
GOSR2,0,0.089613
THRSP,1.1222,0.090462
DNASE1,0.64112,0.092781
UQCC1,0.96448,0.093644
MAD2L1BP,0.7958,0.093866
SLC6A18,0.78177,0.09605
CLUH,0.91355,0.097862
SLC6A19,0.88497,0.098993
