id,neg.lfc,neg.fdr
PSENEN,-1.6414,0.000381
TAZ,-2.4986,0.000381
SLC30A9,-2.1661,0.000381
NFE2L2,-1.8161,0.000381
PFKFB3,-1.6207,0.000381
CRK,-2.1878,0.000381
MDM4,-1.9904,0.000381
SMARCA2,-2.8411,0.000381
CCND1,-1.3868,0.001768
CFLAR,-1.5408,0.002166
DYRK1B,-1.0887,0.002345
KDM3B,-1.1356,0.00297
HEATR3,-1.9077,0.004217
NTF4,-1.1624,0.005712
CEACAM8,-1.4401,0.006247
ERF,-1.4719,0.006365
KLF10,-1.4772,0.006365
DGKD,-1.236,0.006365
CSNK2A1,-1.3444,0.006365
TRMT10A,-1.1396,0.009119
CLEC11A,-1.0626,0.010739
WDR4,-2.2906,0.010739
FERMT2,-1.4047,0.010739
MTX2,-1.9173,0.010876
LGI4,-1.2123,0.011505
LRP3,-1.0183,0.013265
CEACAM5,-0.94649,0.013265
ZNF627,-1.1822,0.013265
CCDC22,-1.2392,0.015783
GRIK5,-1.0139,0.017028
HIPK4,-1.0606,0.017488
ZWINT,-1.1659,0.018603
KDSR,-1.1194,0.019052
YTHDF2,-1.2107,0.019059
MED25,-1.3072,0.020042
ZNF790,-1.2099,0.021075
CEACAM1,-1.1792,0.021606
SNAP23,-1.5383,0.023059
C19orf70,-0.90639,0.024087
WWTR1,-0.90184,0.028697
ETHE1,-0.14743,0.032666
CCDC93,-0.88681,0.03436
KIF2A,-1.0439,0.03436
HNF1B,-1.5058,0.036146
IPO4,-0.83678,0.038126
ZFP36L1,-0.95838,0.038126
TIMM17A,-1.0712,0.03937
ACPT,-1.158,0.03996
SIGLEC7,-1.6101,0.03996
FAM122A,-1.5199,0.040017
PSMG2,-1.1895,0.040017
CNBP,-1.0399,0.040325
RNASEH2C,-0.94348,0.040325
PROSER3,-1.0122,0.042934
MEN1,-1.0434,0.042934
IRF2BP1,-0.81389,0.042934
ADARB2,-0.79287,0.043605
SPRED3,-1.0603,0.046214
GPI,-1.5997,0.047597
ARNT,-0.98793,0.04839
BPTF,-1.9978,0.052419
UXS1,-1.2723,0.052644
FCGBP,-0.93091,0.053098
RNASEH2B,-1.2023,0.053098
CAPN12,-1.0376,0.055916
NME6,-1.2586,0.056906
MPV17L2,-1.3858,0.058856
GPD1L,-0.9458,0.058856
ATP7A,-1.2397,0.059098
MDM2,-1.2505,0.065252
AEBP2,-0.99054,0.069241
IFNL4,-0.85953,0.071206
COMMD10,-0.83144,0.072586
AC002398.9,0,0.076078
RING1,-0.9916,0.078332
PRDX1,-1.129,0.084706
FIG4,-0.82192,0.087376
PRAMEF12,-0.84157,0.094004
