id,neg.lfc,neg.fdr
RICTOR,-1.974,0.000225
BAG6,-0.99891,0.000225
ITPK1,-1.7692,0.000225
IRS2,-1.8011,0.000225
CRTC3,-3.239,0.000225
HECTD1,-1.6535,0.000225
CCNC,-1.3181,0.000225
TYMS,-1.9895,0.000225
DYRK1A,-1.6292,0.000225
OTUD5,-1.5308,0.000225
ZER1,-2.1265,0.000225
CCNF,-2.2688,0.000225
WDR73,-3.0363,0.000225
ATIC,-1.8333,0.000225
TFAP2A,-1.3264,0.000225
FURIN,-1.4728,0.001945
FGFR1,-0.99447,0.001945
SLC4A7,-1.5225,0.001945
NKD2,-1.1169,0.003536
JAK1,-0.96938,0.003536
SGOL1,-1.1824,0.00388
SLC35B2,-0.91984,0.00388
UBE2K,-1.1151,0.004443
HSPA13,-1.2569,0.004579
UBE2QL1,-0.94227,0.007591
SLC25A36,-0.8028,0.011357
DIRAS3,-0.92978,0.012423
ABCF3,-0.77956,0.013809
ERO1A,-1.8253,0.013809
CCDC51,-1.1181,0.014083
B4GALT7,-1.0612,0.01418
ATP13A1,-0.89567,0.015099
FGD2,-0.97243,0.016049
PACS1,-1.1783,0.016049
PPCDC,-0.58155,0.021227
TGFBR1,-0.70325,0.021622
FOXC1,-0.95481,0.025566
PPP2R3C,-1.0723,0.025566
GFPT1,-2.0105,0.025622
C18orf8,-1.0803,0.028797
CEBPB,-1.0908,0.029062
MBIP,-0.683,0.032804
PHGDH,-1.2839,0.037103
DUS2,-0.68271,0.03925
DCP1A,-0.7813,0.040229
GNB4,-0.69228,0.041145
NAPG,-0.92376,0.041145
PTGER3,-0.89678,0.045179
DDI2,-1.0647,0.048353
NXT1,-1.189,0.048786
NFIA,-0.90615,0.050046
ADGRL2,-0.82007,0.056638
SLC22A18,-0.65071,0.056638
MARCH6,-0.76858,0.059596
LPCAT1,-0.82446,0.066703
B3GAT3,-0.98185,0.068106
TBL1XR1,-0.64006,0.07034
OTUD6B,-0.96924,0.076011
RAB3GAP1,-0.98526,0.0882
FLCN,-0.63912,0.089139
HBS1L,-0.58105,0.091071
SLC20A1,-1.402,0.097743
