id,neg.lfc,neg.fdr
SMAD4,-1.3599,0.000619
UBIAD1,-1.5399,0.000619
UCHL5,-2.763,0.000619
GET4,-1.8967,0.000619
NUP37,-2.6081,0.000619
INPP5K,-2.044,0.000619
YBEY,-1.7608,0.00165
FH,-1.7283,0.003403
SEC63,-1.9136,0.003403
TMCO6,-2.3174,0.003403
TMEM201,-1.2029,0.003403
RER1,-1.7469,0.003403
LAMTOR4,-1.2588,0.003786
FASTKD2,-1.9671,0.005993
VRK1,-2.0941,0.006365
GTPBP6,-2.0169,0.006365
PIAS4,-1.1857,0.007103
VPS41,-1.3174,0.009351
RNASEH2C,-1.031,0.009351
HIRA,-2.7002,0.009371
TAF3,-1.601,0.00973
SDHB,-1.6951,0.010066
CHMP7,-1.3831,0.011293
COA5,-1.9112,0.014569
PPP2R5E,-0.88488,0.016121
NDUFA2,-1.2845,0.0163
CLPP,-2.8851,0.0163
SDHA,-2.0093,0.016855
TUBB4B,-1.3479,0.017384
WDR73,-1.5265,0.019694
DNAJC21,-0.63398,0.022229
ZNF511,-2.4001,0.022719
FNDC3B,-1.9058,0.022719
NDUFV1,-1.5357,0.022719
DHX29,-1.8003,0.022719
NDUFA10,-1.0049,0.0251
LIPT2,-1.0617,0.028161
TRIP12,-1.7046,0.029467
FZR1,-1.8831,0.031066
RNASEH1,-2.1164,0.031066
NUP188,-1.5701,0.031471
MRPS11,-1.4126,0.032348
TRIT1,-1.6592,0.032853
MPV17L2,-1.2934,0.032853
ATP2B1,-1.6231,0.042079
GCN1,-1.3509,0.045648
CLCC1,-0.66816,0.045806
DICER1,-1.3096,0.045848
CARS2,-1.6405,0.051191
ITGB1,-0.84977,0.059826
HNRNPA2B1,-1.5951,0.059826
FLII,-1.1056,0.059826
TRPM7,-0.99828,0.059826
STK11,-1.9106,0.060094
ACAD9,-0.6022,0.060379
CNOT7,-1.7436,0.060379
ACTR5,-1.0895,0.06186
RTEL1,0,0.063211
JUNB,-0.84188,0.065913
IBA57,-1.8441,0.066812
MECR,-1.7831,0.072769
CRAMP1,-2.0188,0.072769
PRKCSH,-0.88138,0.072937
SMARCA4,-1.0317,0.072937
LARP1,-1.4875,0.08186
MTA2,-1.0553,0.088797
MCAT,-1.4618,0.090906
MRPL36,-1.7616,0.090906
RBM33,-1.293,0.095364
