gene,Gain_lethality_LIMD1,Depleted_and_lethal_LIMD1,Depleted_LIMD1
RBM12,1,1,1
PUM3,1,1,1
MEN1,1,1,1
PSTK,1,1,1
EEFSEC,1,1,1
SEPSECS,1,1,1
FLII,1,1,1
GPX4,1,1,1
QRICH1,1,1,1
ZC3H18,1,1,1
WDR89,1,1,1
SNAP23,1,1,1
SEC62,1,1,1
TRIM37,0,1,1
DIAPH3,0,0,1
SHMT1,0,0,1
CBLN3,0,0,1
NFIC,0,0,1
DNMT3A,0,0,1
WIZ,0,0,1
CTNNB1,0,0,1
EXOC8,0,0,1
ADRB3,0,0,1
HRH3,0,0,1
CCDC13,0,0,1
TNFRSF10A,0,0,1
SGF29,0,0,1
ZMYM3,0,0,1
SAMD1,0,0,1
TRAF3,0,0,1
NFIB,0,0,1
CRTC2,0,0,1
LGR4,0,0,1
CEBPB,0,0,1
TMEM189,0,0,1
TMEM189-UBE2V1,0,0,1
ITGA3,0,0,1
BIRC2,0,0,1
GALNT11,0,0,1
FAR1,0,0,1
ROCK2,0,0,1
