Gene symbol,P-value (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),FDR step up (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),Fold change (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11)
SYT1,3.31E-23,4.13E-19,2.42E+04
PLA2G4A,7.77E-14,4.61E-11,2.41E+04
FLRT3,1.92E-19,4.24E-16,3.83E+03
GPRC5B,3.33E-04,6.01E-03,2.03E+03
AUTS2,2.54E-18,3.53E-15,1.80E+03
ST8SIA4,3.33E-04,6.01E-03,1.73E+03
HPGD,3.98E-02,1.73E-01,1.50E+03
ASB9,3.60E-04,6.38E-03,1.01E+03
SCN9A,4.39E-02,1.83E-01,7.52E+02
FYB1,4.27E-02,1.80E-01,7.52E+02
PPP2R2C,4.41E-02,1.84E-01,3.26E+02
CFH,6.84E-07,5.54E-05,1.12E+02
FLRT2,3.51E-05,1.16E-03,6.97E+01
BACE2,3.17E-21,9.88E-18,6.83E+01
FBXO25,5.65E-05,1.63E-03,6.01E+01
FRMD3,2.59E-02,1.30E-01,4.20E+01
ICA1,1.24E-05,5.27E-04,2.26E+01
MSX2,1.16E-05,4.99E-04,1.98E+01
TEX9,1.37E-05,5.66E-04,1.77E+01
NPM1P6,2.05E-05,7.50E-04,1.61E+01
RASSF9,2.19E-05,7.94E-04,1.51E+01
ROBO1,5.94E-04,9.08E-03,1.45E+01
PCDH9,1.11E-14,7.70E-12,1.43E+01
KHDRBS3,4.32E-08,5.85E-06,1.37E+01
LINC01116,9.54E-04,1.26E-02,1.31E+01
CDH6,1.13E-07,1.21E-05,1.27E+01
UCHL1,1.18E-13,6.37E-11,1.19E+01
SIM2,5.75E-02,2.17E-01,1.16E+01
STK26,1.30E-03,1.59E-02,1.13E+01
SLITRK5,1.85E-03,2.05E-02,1.12E+01
GRB14,3.79E-05,1.24E-03,1.05E+01
PYGO1,9.62E-13,3.79E-10,9.79E+00
ZNF280B,4.30E-05,1.35E-03,9.69E+00
CPNE7,2.38E-03,2.47E-02,9.04E+00
SNX10,4.86E-05,1.46E-03,7.94E+00
PRR15,2.06E-03,2.22E-02,7.85E+00
