Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-LIMD1KO-C10-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh)
VCAN,6.43E-20,8.01E-16,2.94E+02,2.94E+02,3.36E+02,1.14E+00
NTRK3,1.36E-03,2.19E-02,7.49E+01,7.49E+01,3.05E+01,4.07E-01
FGB,3.48E-09,1.06E-06,5.05E+01,5.05E+01,8.36E+01,1.65E+00
PKDCC,1.57E-03,2.42E-02,2.81E+01,2.81E+01,1.60E+01,5.69E-01
SLC7A7,1.75E-02,1.22E-01,2.72E+01,2.72E+01,3.03E+01,1.11E+00
FXYD2,1.08E-01,3.69E-01,1.82E+01,1.82E+01,1.50E+02,8.24E+00
DSEL,4.84E-04,1.04E-02,1.61E+01,1.61E+01,4.83E+00,3.00E-01
SLPI,5.90E-02,2.62E-01,1.45E+01,1.45E+01,8.26E+00,5.71E-01
PALMD,1.32E-05,6.27E-04,1.14E+01,1.14E+01,3.30E+00,2.90E-01
SLFN11,1.59E-03,2.43E-02,1.09E+01,1.09E+01,2.96E+00,2.71E-01
CPS1,2.00E-08,3.89E-06,9.85E+00,9.85E+00,8.38E+00,8.50E-01
PKIB,1.64E-08,3.40E-06,9.02E+00,9.02E+00,9.61E+00,1.06E+00
UNC13D,1.19E-09,4.24E-07,8.40E+00,8.40E+00,3.77E+01,4.49E+00
ARAP2,8.79E-08,1.33E-05,7.91E+00,7.91E+00,7.12E+00,9.00E-01
APOL1,7.03E-08,1.11E-05,7.84E+00,7.84E+00,1.44E+01,1.84E+00
ANK3,2.52E-07,3.11E-05,6.86E+00,6.86E+00,1.06E+01,1.55E+00
OLFML3,4.71E-06,2.88E-04,6.86E+00,6.86E+00,3.57E+01,5.20E+00
AC009245.1,1.07E-01,3.67E-01,6.63E+00,6.63E+00,2.36E+01,3.57E+00
PLCB1,1.64E-07,2.18E-05,6.61E+00,6.61E+00,9.52E+00,1.44E+00
VGF,4.03E-05,1.49E-03,6.59E+00,6.59E+00,6.96E+00,1.06E+00
SPTLC3,2.10E-02,1.38E-01,6.58E+00,6.58E+00,2.81E+00,4.27E-01
IGFBP1,1.36E-05,6.36E-04,6.44E+00,6.44E+00,1.08E+01,1.68E+00
RNF43,7.09E-11,3.68E-08,6.20E+00,6.20E+00,2.64E+01,4.25E+00
NKD1,1.57E-04,4.39E-03,6.01E+00,6.01E+00,3.95E+00,6.58E-01
CEACAM6,1.74E-01,4.76E-01,5.97E+00,5.97E+00,5.98E+01,1.00E+01
RBFOX3,2.08E-01,5.22E-01,5.57E+00,5.57E+00,2.40E+01,4.31E+00
ARRB1,5.18E-04,1.10E-02,5.48E+00,5.48E+00,8.97E+00,1.64E+00
SLC16A7,1.06E-08,2.32E-06,5.35E+00,5.35E+00,1.45E+01,2.71E+00
SPRY1,4.20E-04,9.34E-03,5.33E+00,5.33E+00,2.58E+00,4.84E-01
SLFN5,7.76E-09,1.86E-06,5.22E+00,5.22E+00,1.36E+01,2.60E+00
PROS1,5.88E-05,2.07E-03,5.13E+00,5.13E+00,7.48E+00,1.46E+00
TVP23C-CDRT4,9.06E-04,1.64E-02,5.10E+00,5.10E+00,6.26E+00,1.23E+00
INHBB,5.19E-11,3.08E-08,5.09E+00,5.09E+00,1.14E+02,2.24E+01
NPR3,1.71E-06,1.35E-04,5.08E+00,5.08E+00,2.06E+01,4.05E+00
MMP7,3.56E-01,6.81E-01,5.07E+00,5.07E+00,6.55E+01,1.29E+01
NR4A2,3.52E-05,1.35E-03,5.01E+00,5.01E+00,2.86E+00,5.70E-01
LOH12CR2,1.71E-03,2.53E-02,4.84E+00,4.84E+00,2.38E+00,4.93E-01
ADORA2B,4.93E-06,2.96E-04,4.70E+00,4.70E+00,8.87E+00,1.89E+00
RSPO3,2.76E-01,6.03E-01,4.70E+00,4.70E+00,3.65E+02,7.76E+01
SAMD11,1.37E-07,1.90E-05,4.66E+00,4.66E+00,4.57E+01,9.82E+00
PTGS2,2.49E-01,5.71E-01,4.60E+00,4.60E+00,6.72E+01,1.46E+01
AC008581.2,9.16E-01,9.74E-01,4.55E+00,4.55E+00,6.07E+00,1.33E+00
AL590399.1,3.40E-02,1.85E-01,4.48E+00,4.48E+00,3.02E+00,6.74E-01
MANSC1,5.03E-03,5.35E-02,4.40E+00,4.40E+00,4.34E+00,9.87E-01
FRMD4B,6.86E-09,1.71E-06,4.39E+00,4.39E+00,9.36E+00,2.13E+00
AL121594.1,2.84E-02,1.65E-01,4.39E+00,4.39E+00,3.40E+00,7.74E-01
SARM1,1.39E-06,1.18E-04,4.38E+00,4.38E+00,8.30E+00,1.90E+00
NOTCH3,2.03E-03,2.85E-02,4.32E+00,4.32E+00,1.50E+00,3.49E-01
