Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
FGB,1.44E-10,1.28E-07,1.07E+02,1.07E+02,8.36E+01,7.80E-01,6.744657
SPTLC3,8.14E-03,8.61E-02,2.13E+01,2.13E+01,2.81E+00,1.32E-01,4.414488809
ZEB2,4.49E-04,1.11E-02,1.81E+01,1.81E+01,5.15E+00,2.84E-01,4.178782088
ANGPT1,4.20E-04,1.05E-02,1.71E+01,1.71E+01,3.53E+00,2.07E-01,4.095759785
SLC7A7,4.31E-02,2.42E-01,1.63E+01,1.63E+01,3.03E+01,1.86E+00,4.027923998
ASPHD1,5.16E-07,5.79E-05,1.45E+01,1.45E+01,1.04E+01,7.22E-01,3.855226508
FAM167A,7.85E-02,3.41E-01,1.07E+01,1.07E+01,4.25E+00,3.99E-01,3.413797437
PIEZO2,1.25E-06,1.19E-04,1.05E+01,1.05E+01,7.40E+00,7.02E-01,3.398663869
PKIB,9.85E-09,3.23E-06,9.47E+00,9.47E+00,9.61E+00,1.01E+00,3.243993477
PKDCC,1.56E-01,4.79E-01,8.04E+00,8.04E+00,1.60E+01,1.99E+00,3.006896303
CDA,6.01E-08,1.12E-05,7.17E+00,7.17E+00,6.29E+00,8.77E-01,2.841664735
DHRS2,6.85E-05,2.62E-03,6.88E+00,6.88E+00,1.25E+01,1.82E+00,2.781511481
SLFN11,1.32E-01,4.45E-01,6.75E+00,6.75E+00,2.96E+00,4.38E-01,2.755749476
NEK10,6.44E-06,4.12E-04,6.58E+00,6.58E+00,2.91E+00,4.41E-01,2.71903788
SELENBP1,4.23E-08,8.64E-06,6.27E+00,6.27E+00,7.76E+00,1.24E+00,2.649417196
APOL1,2.44E-06,1.99E-04,5.98E+00,5.98E+00,1.44E+01,2.41E+00,2.579491424
ZNF426,3.16E-02,2.01E-01,5.79E+00,5.79E+00,2.04E+00,3.52E-01,2.533401089
CFH,2.01E-01,5.43E-01,5.62E+00,5.62E+00,2.83E+01,5.03E+00,2.491470332
SLFN5,2.30E-09,9.25E-07,5.61E+00,5.61E+00,1.36E+01,2.42E+00,2.488869505
CEACAM6,1.88E-01,5.27E-01,5.61E+00,5.61E+00,5.98E+01,1.07E+01,2.486900552
GPX2,6.43E-08,1.14E-05,5.57E+00,5.57E+00,1.39E+02,2.50E+01,2.477741084
SEZ6L2,5.06E-09,1.80E-06,5.47E+00,5.47E+00,2.93E+01,5.35E+00,2.452821232
PYCARD,6.39E-10,3.32E-07,5.44E+00,5.44E+00,1.07E+01,1.97E+00,2.442838429
CD274,1.98E-04,6.03E-03,5.31E+00,5.31E+00,1.02E+00,1.92E-01,2.408813094
ARRB1,7.39E-04,1.61E-02,5.18E+00,5.18E+00,8.97E+00,1.73E+00,2.373186563
IGFBP1,4.86E-05,1.98E-03,5.17E+00,5.17E+00,1.08E+01,2.10E+00,2.368802596
INHBB,5.35E-11,6.06E-08,5.07E+00,5.07E+00,1.14E+02,2.25E+01,2.341874812
CDH6,9.82E-05,3.43E-03,5.04E+00,5.04E+00,3.58E+00,7.11E-01,2.332663957
SMPDL3B,6.01E-03,7.00E-02,5.03E+00,5.03E+00,4.01E+00,7.97E-01,2.330007451
MUC1,4.21E-04,1.06E-02,5.03E+00,5.03E+00,1.54E+00,3.06E-01,2.329568121
LGALS9,3.11E-01,6.58E-01,4.81E+00,4.81E+00,2.80E+00,5.82E-01,2.266850108
ANK3,8.19E-06,4.98E-04,4.74E+00,4.74E+00,1.06E+01,2.24E+00,2.245599325
KLHL4,2.55E-07,3.18E-05,4.71E+00,4.71E+00,7.18E+00,1.52E+00,2.234933954
ARHGAP31,1.59E-06,1.45E-04,4.68E+00,4.68E+00,3.51E+00,7.51E-01,2.226594119
OLFML3,9.85E-05,3.43E-03,4.61E+00,4.61E+00,3.57E+01,7.73E+00,2.204918524
SLC40A1,1.37E-04,4.49E-03,4.57E+00,4.57E+00,4.10E+00,8.97E-01,2.193306753
RAP1GAP2,1.47E-02,1.25E-01,4.55E+00,4.55E+00,2.85E+00,6.27E-01,2.185417576
